id,station_name,song_name,album_name,artist_name,date,time,timestamp,radio_show,dj,tmp_date,tmp_time
48,the_current,September Gurls,,Big Star,10/4/2021,3:06:02,2021-10-4T3:06:02.000000,,,2021-10-4,3:06:02
49,the_current,Hold On To Love,,Kiss the Tiger,10/4/2021,3:12:03,2021-10-4T3:12:03.000000,,,2021-10-4,3:12:03
50,the_current,Naked As We Came,,Iron and Wine,10/4/2021,3:18:02,2021-10-4T3:18:02.000000,,,2021-10-4,3:18:02
51,the_current,Half a Human,,Real Estate,10/4/2021,3:24:02,2021-10-4T3:24:02.000000,,,2021-10-4,3:24:02
52,the_current,Hercules,,Aaron Neville,10/4/2021,3:30:03,2021-10-4T3:30:03.000000,,,2021-10-4,3:30:03
53,the_current,Once In A Lifetime,,Angelique Kidjo,10/4/2021,3:36:03,2021-10-4T3:36:03.000000,,,2021-10-4,3:36:03
54,the_current,Knives feat. Portugal The Man,,Ya Tseen,10/4/2021,3:42:02,2021-10-4T3:42:02.000000,,,2021-10-4,3:42:02
55,the_current,Maria Tambien,,Khruangbin,10/4/2021,3:48:03,2021-10-4T3:48:03.000000,,,2021-10-4,3:48:03
56,the_current,Rebel Rebel,,Seu Jorge,10/4/2021,3:54:03,2021-10-4T3:54:03.000000,,,2021-10-4,3:54:03
57,the_current,Worry,,Songhoy Blues,10/4/2021,4:00:02,2021-10-4T4:00:02.000000,,,2021-10-4,4:00:02
58,the_current,Eyes To The Wind,,The War On Drugs,10/4/2021,4:06:01,2021-10-4T4:06:01.000000,,,2021-10-4,4:06:01
59,the_current,Coffee And TV,,Blur,10/4/2021,4:12:02,2021-10-4T4:12:02.000000,,,2021-10-4,4:12:02
60,the_current,This Island,,TV Priest,10/4/2021,4:18:02,2021-10-4T4:18:02.000000,,,2021-10-4,4:18:02
61,the_current,Plastic Beach,,Future Islands,10/4/2021,4:24:02,2021-10-4T4:24:02.000000,,,2021-10-4,4:24:02
62,the_current,Time Stands,,Nathaniel Rateliff,10/4/2021,4:30:03,2021-10-4T4:30:03.000000,,,2021-10-4,4:30:03
63,the_current,"Straight, No Chaser",,Thelonious Monk,10/4/2021,4:36:02,2021-10-4T4:36:02.000000,,,2021-10-4,4:36:02
64,the_current,Daisy,,Under Violet,10/4/2021,4:42:01,2021-10-4T4:42:01.000000,,,2021-10-4,4:42:01
65,the_current,Temple,,Thao and The Get Down Stay Down,10/4/2021,4:48:02,2021-10-4T4:48:02.000000,,,2021-10-4,4:48:02
66,the_current,Strangers feat. Lucius,,Black Pumas,10/4/2021,4:54:03,2021-10-4T4:54:03.000000,,,2021-10-4,4:54:03
67,the_current,Entitlement Crew,,The Hold Steady,10/4/2021,5:00:03,2021-10-4T5:00:03.000000,,,2021-10-4,5:00:03
68,the_current,Everything Now,,Arcade Fire,10/4/2021,5:06:02,2021-10-4T5:06:02.000000,,,2021-10-4,5:06:02
69,the_current,Astronaut,,Katie Toupin,10/4/2021,5:12:03,2021-10-4T5:12:03.000000,,,2021-10-4,5:12:03
70,the_current,Autonomy,,Buzzcocks,10/4/2021,5:18:02,2021-10-4T5:18:02.000000,,,2021-10-4,5:18:02
71,the_current,Fire for You,,Cannons,10/4/2021,5:24:03,2021-10-4T5:24:03.000000,,,2021-10-4,5:24:03
72,the_current,White Ferrari,,Frank Ocean,10/4/2021,5:30:03,2021-10-4T5:30:03.000000,,,2021-10-4,5:30:03
73,the_current,Satisfied,,The Staves,10/4/2021,5:36:02,2021-10-4T5:36:02.000000,,,2021-10-4,5:36:02
74,the_current,Untitled,,FPA,10/4/2021,5:42:03,2021-10-4T5:42:03.000000,,,2021-10-4,5:42:03
75,the_current,Wishing Well,,Bob Mould,10/4/2021,5:48:02,2021-10-4T5:48:02.000000,,,2021-10-4,5:48:02
76,the_current,Chove Chuva,,Sérgio Mendes and Brasil '66,10/4/2021,5:54:02,2021-10-4T5:54:02.000000,,,2021-10-4,5:54:02
77,the_current,Anything Could Happen,,Dylan Cartlidge,10/4/2021,6:00:02,2021-10-4T6:00:02.000000,,,2021-10-4,6:00:02
78,the_current,Fake Palindromes,,Andrew Bird,10/4/2021,6:06:02,2021-10-4T6:06:02.000000,,,2021-10-4,6:06:02
79,the_current,Intrasport,,King Gizzard and the Lizard Wizard,10/4/2021,6:12:02,2021-10-4T6:12:02.000000,,,2021-10-4,6:12:02
80,the_current,Gris-Gris Gumbo Ya Ya,,Dr. John,10/4/2021,6:18:02,2021-10-4T6:18:02.000000,,,2021-10-4,6:18:02
81,the_current,Gold Chains,,Genesis Owusu,10/4/2021,6:24:02,2021-10-4T6:24:02.000000,,,2021-10-4,6:24:02
82,the_current,Any Party,,Feist,10/4/2021,6:30:03,2021-10-4T6:30:03.000000,,,2021-10-4,6:30:03
83,the_current,King Of Rock,,Run DMC,10/4/2021,6:36:01,2021-10-4T6:36:01.000000,,,2021-10-4,6:36:01
84,the_current,Fake Gold Silver Chains,,Mark Mallman,10/4/2021,6:42:02,2021-10-4T6:42:02.000000,,,2021-10-4,6:42:02
85,the_current,Free,,Sault,10/4/2021,6:48:02,2021-10-4T6:48:02.000000,,,2021-10-4,6:48:02
86,the_current,Questions,,Middle Kids,10/4/2021,6:54:01,2021-10-4T6:54:01.000000,,,2021-10-4,6:54:01
87,the_current,Bad Bad News,,Leon Bridges,10/4/2021,7:00:02,2021-10-4T7:00:02.000000,,,2021-10-4,7:00:02
88,the_current,Break My Baby,,Kaleo,10/4/2021,7:06:02,2021-10-4T7:06:02.000000,,,2021-10-4,7:06:02
89,the_current,Stone Me,,Margo Price,10/4/2021,7:12:02,2021-10-4T7:12:02.000000,,,2021-10-4,7:12:02
90,the_current,I Hear The Ax Swinging,,Ghost of Vroom,10/4/2021,7:18:02,2021-10-4T7:18:02.000000,,,2021-10-4,7:18:02
91,the_current,Driven to Tears,,The Police,10/4/2021,7:24:02,2021-10-4T7:24:02.000000,,,2021-10-4,7:24:02
92,the_current,Bright Horses,,Nick Cave and The Bad Seeds,10/4/2021,7:30:02,2021-10-4T7:30:02.000000,,,2021-10-4,7:30:02
93,the_current,Come Inside feat. Lady Midnight and Papa Mybe,,King Pari,10/4/2021,7:36:02,2021-10-4T7:36:02.000000,,,2021-10-4,7:36:02
94,the_current,The '59 Sound,,The Gaslight Anthem,10/4/2021,7:42:03,2021-10-4T7:42:03.000000,,,2021-10-4,7:42:03
95,the_current,Neighborhood Bully,,Bob Dylan,10/4/2021,7:48:02,2021-10-4T7:48:02.000000,,,2021-10-4,7:48:02
96,the_current,Welcome 2 America,,Prince,10/4/2021,7:54:02,2021-10-4T7:54:02.000000,,,2021-10-4,7:54:02
97,the_current,Don't Believe,,The Psychedelic Furs,10/4/2021,8:00:02,2021-10-4T8:00:02.000000,,,2021-10-4,8:00:02
98,the_current,Sappy,,Nirvana,10/4/2021,8:06:02,2021-10-4T8:06:02.000000,,,2021-10-4,8:06:02
99,the_current,Don't You Want Me,,The Human League,10/4/2021,8:12:03,2021-10-4T8:12:03.000000,,,2021-10-4,8:12:03
100,the_current,Be Near Me,,ABC,10/4/2021,8:18:02,2021-10-4T8:18:02.000000,,,2021-10-4,8:18:02
101,the_current,Government Center,,The Modern Lovers,10/4/2021,8:24:03,2021-10-4T8:24:03.000000,,,2021-10-4,8:24:03
102,the_current,No Feelings,,Sex Pistols,10/4/2021,8:30:02,2021-10-4T8:30:02.000000,,,2021-10-4,8:30:02
103,the_current,Stories For Boys,,U2,10/4/2021,8:36:02,2021-10-4T8:36:02.000000,,,2021-10-4,8:36:02
104,the_current,That's When I Reach For My Revolver,,Mission of Burma,10/4/2021,8:42:02,2021-10-4T8:42:02.000000,,,2021-10-4,8:42:02
105,the_current,Cat People (Putting Out Fire),,David Bowie,10/4/2021,8:48:02,2021-10-4T8:48:02.000000,,,2021-10-4,8:48:02
106,the_current,Pretend We're Dead,,L7,10/4/2021,8:54:02,2021-10-4T8:54:02.000000,,,2021-10-4,8:54:02
107,the_current,Love Will Tear Us Apart,,Joy Division,10/4/2021,9:00:02,2021-10-4T9:00:02.000000,,,2021-10-4,9:00:02
108,the_current,Built For Speed,,Stray Cats,10/4/2021,9:06:02,2021-10-4T9:06:02.000000,,,2021-10-4,9:06:02
109,the_current,Made of Stone,,The Stone Roses,10/4/2021,9:12:02,2021-10-4T9:12:02.000000,,,2021-10-4,9:12:02
110,the_current,China Girl,,David Bowie,10/4/2021,9:18:03,2021-10-4T9:18:03.000000,,,2021-10-4,9:18:03
111,the_current,Search and Destroy,,Iggy and the Stooges,10/4/2021,9:24:02,2021-10-4T9:24:02.000000,,,2021-10-4,9:24:02
112,the_current,High,,The Cure,10/4/2021,9:30:03,2021-10-4T9:30:03.000000,,,2021-10-4,9:30:03
113,the_current,In A Big Country,,Big Country,10/4/2021,9:36:02,2021-10-4T9:36:02.000000,,,2021-10-4,9:36:02
114,the_current,Let's Dance,,David Bowie,10/4/2021,9:42:03,2021-10-4T9:42:03.000000,,,2021-10-4,9:42:03
115,the_current,Cherry Oh Baby,,UB40,10/4/2021,9:48:02,2021-10-4T9:48:02.000000,,,2021-10-4,9:48:02
116,the_current,The Politics of Dancing,,Re-Flex,10/4/2021,9:54:02,2021-10-4T9:54:02.000000,,,2021-10-4,9:54:02
117,the_current,Bastards of Young,,The Replacements,10/4/2021,10:00:03,2021-10-4T10:00:03.000000,,,2021-10-4,10:00:03
118,the_current,How You Like Me Now?,,The Heavy,10/4/2021,10:06:01,2021-10-4T10:06:01.000000,,,2021-10-4,10:06:01
119,the_current,Claire and Eddie,,Kings of Leon,10/4/2021,10:12:01,2021-10-4T10:12:01.000000,,,2021-10-4,10:12:01
120,the_current,Not Dead Yet,,Lord Huron,10/4/2021,10:18:02,2021-10-4T10:18:02.000000,,,2021-10-4,10:18:02
121,the_current,Thumbs,,Lucy Dacus,10/4/2021,10:24:02,2021-10-4T10:24:02.000000,,,2021-10-4,10:24:02
122,the_current,Hero,,Michael Kiwanuka,10/4/2021,10:30:01,2021-10-4T10:30:01.000000,,,2021-10-4,10:30:01
123,the_current,We Got To Have Peace,,Curtis Mayfield,10/4/2021,10:36:02,2021-10-4T10:36:02.000000,,,2021-10-4,10:36:02
124,the_current,Keep Moving,,Jungle,10/4/2021,10:42:03,2021-10-4T10:42:03.000000,,,2021-10-4,10:42:03
125,the_current,Pay Your Way In Pain,,St. Vincent,10/4/2021,10:48:02,2021-10-4T10:48:02.000000,,,2021-10-4,10:48:02
126,the_current,Amongster,,Polica,10/4/2021,10:54:02,2021-10-4T10:54:02.000000,,,2021-10-4,10:54:02
127,the_current,Toe Jam feat. David Byrne and Dizzie Rascal,,The BPA,10/4/2021,11:00:03,2021-10-4T11:00:03.000000,,,2021-10-4,11:00:03
128,the_current,Almost Had to Start a Fight/In and Out of Patience,,Parquet Courts,10/4/2021,11:06:03,2021-10-4T11:06:03.000000,,,2021-10-4,11:06:03
129,the_current,Ooh LA LA feat. Greg Nice and DJ Premier,,Run The Jewels,10/4/2021,11:12:02,2021-10-4T11:12:02.000000,,,2021-10-4,11:12:02
130,the_current,Love And Happiness,,Al Green,10/4/2021,11:18:02,2021-10-4T11:18:02.000000,,,2021-10-4,11:18:02
131,the_current,Crossbow,,Tamar Aphek,10/4/2021,11:24:02,2021-10-4T11:24:02.000000,,,2021-10-4,11:24:02
132,the_current,Good Days,,SZA,10/4/2021,11:30:03,2021-10-4T11:30:03.000000,,,2021-10-4,11:30:03
133,the_current,Glowing In The Dark,,Django Django,10/4/2021,11:36:02,2021-10-4T11:36:02.000000,,,2021-10-4,11:36:02
134,the_current,I'm Writing A Novel,,Father John Misty,10/4/2021,11:42:02,2021-10-4T11:42:02.000000,,,2021-10-4,11:42:02
135,the_current,Waiting On A War,,Foo Fighters,10/4/2021,11:48:02,2021-10-4T11:48:02.000000,,,2021-10-4,11:48:02
136,the_current,Bellbottoms,,The Jon Spencer Blues Explosion,10/4/2021,11:54:02,2021-10-4T11:54:02.000000,,,2021-10-4,11:54:02
137,the_current,Youth,,Glass Animals,10/4/2021,12:00:03,2021-10-4T12:00:03.000000,,,2021-10-4,12:00:03
138,the_current,Low,,Chet Faker,10/4/2021,12:06:02,2021-10-4T12:06:02.000000,,,2021-10-4,12:06:02
139,the_current,Natural's Not In It,,Gang of Four,10/4/2021,12:12:03,2021-10-4T12:12:03.000000,,,2021-10-4,12:12:03
140,the_current,Freedom,,Illiterate Light and Devon Gilfillian,10/4/2021,12:18:02,2021-10-4T12:18:02.000000,,,2021-10-4,12:18:02
141,the_current,Jazz (We've Got),,A Tribe Called Quest,10/4/2021,12:24:02,2021-10-4T12:24:02.000000,,,2021-10-4,12:24:02
142,the_current,What It Is,,Angel Olsen,10/4/2021,12:30:02,2021-10-4T12:30:02.000000,,,2021-10-4,12:30:02
143,the_current,What I Love the Most,,Lanue,10/4/2021,12:36:02,2021-10-4T12:36:02.000000,,,2021-10-4,12:36:02
144,the_current,Ode to Billie Joe,,Bobbie Gentry,10/4/2021,12:42:03,2021-10-4T12:42:03.000000,,,2021-10-4,12:42:03
145,the_current,Bed Head,,Manchester Orchestra,10/4/2021,12:48:02,2021-10-4T12:48:02.000000,,,2021-10-4,12:48:02
146,the_current,Got Nuffin,,Spoon,10/4/2021,12:54:02,2021-10-4T12:54:02.000000,,,2021-10-4,12:54:02
147,the_current,All Mixed Up,,The Cars,10/4/2021,13:00:03,2021-10-4T13:00:03.000000,,,2021-10-4,13:00:03
148,the_current,I Am Trying To Break Your Heart,,Wilco,10/4/2021,13:06:02,2021-10-4T13:06:02.000000,,,2021-10-4,13:06:02
149,the_current,Faith Healer,,Julien Baker,10/4/2021,13:18:02,2021-10-4T13:18:02.000000,,,2021-10-4,13:18:02
150,the_current,Deep End,,Foushee,10/4/2021,13:24:06,2021-10-4T13:24:06.000000,,,2021-10-4,13:24:06
151,the_current,Wow,,Beck,10/4/2021,13:30:03,2021-10-4T13:30:03.000000,,,2021-10-4,13:30:03
152,the_current,Gun Metal Grey,,The Budos Band,10/4/2021,13:36:02,2021-10-4T13:36:02.000000,,,2021-10-4,13:36:02
153,the_current,Last Day On Earth,,beabadoobee,10/4/2021,13:42:02,2021-10-4T13:42:02.000000,,,2021-10-4,13:42:02
154,the_current,Fire for You,,Cannons,10/4/2021,13:48:02,2021-10-4T13:48:02.000000,,,2021-10-4,13:48:02
155,the_current,Uptown Top Ranking,,Althea and Donna,10/4/2021,13:54:03,2021-10-4T13:54:03.000000,,,2021-10-4,13:54:03
156,the_current,I Just Want to Dance,,Sault,10/4/2021,14:00:02,2021-10-4T14:00:02.000000,,,2021-10-4,14:00:02
157,the_current,DANNY NEDELKO,,IDLES,10/4/2021,14:06:03,2021-10-4T14:06:03.000000,,,2021-10-4,14:06:03
158,the_current,Dance Like Nobody's Watching,,Yuna,10/4/2021,14:12:02,2021-10-4T14:12:02.000000,,,2021-10-4,14:12:02
159,the_current,Redemption,,Nathaniel Rateliff,10/4/2021,14:18:03,2021-10-4T14:18:03.000000,,,2021-10-4,14:18:03
160,the_current,Stay in the Car,,Bachelor,10/4/2021,14:24:03,2021-10-4T14:24:03.000000,,,2021-10-4,14:24:03
161,the_current,Handful of Water,,Sofia Valdes,10/4/2021,14:30:02,2021-10-4T14:30:02.000000,,,2021-10-4,14:30:02
162,the_current,Youthful Expression,,A Tribe Called Quest,10/4/2021,14:36:02,2021-10-4T14:36:02.000000,,,2021-10-4,14:36:02
163,the_current,Heels,,Billy Nomates,10/4/2021,14:42:03,2021-10-4T14:42:03.000000,,,2021-10-4,14:42:03
164,the_current,Back In Ohio,,Lucero,10/4/2021,14:48:02,2021-10-4T14:48:02.000000,,,2021-10-4,14:48:02
165,the_current,Lucky Penny,,JD McPherson,10/4/2021,14:54:02,2021-10-4T14:54:02.000000,,,2021-10-4,14:54:02
166,the_current,Hey Girl,,Boy Pablo,10/4/2021,15:00:02,2021-10-4T15:00:02.000000,,,2021-10-4,15:00:02
167,the_current,I Ran Away,,Dinosaur Jr.,10/4/2021,15:06:03,2021-10-4T15:06:03.000000,,,2021-10-4,15:06:03
168,the_current,The Heart and The Tongue,,Chance The Rapper,10/4/2021,15:12:02,2021-10-4T15:12:02.000000,,,2021-10-4,15:12:02
169,the_current,Take Me to the Pilot (Live),,Elton John,10/4/2021,15:18:03,2021-10-4T15:18:03.000000,,,2021-10-4,15:18:03
170,the_current,(Baby) Hold On,,The James Hunter Six,10/4/2021,15:24:02,2021-10-4T15:24:02.000000,,,2021-10-4,15:24:02
171,the_current,Morning Bell,,Radiohead,10/4/2021,15:30:02,2021-10-4T15:30:02.000000,,,2021-10-4,15:30:02
172,the_current,Change Your Mind,,Miloe,10/4/2021,15:36:03,2021-10-4T15:36:03.000000,,,2021-10-4,15:36:03
173,the_current,Bad Decisions,,The Strokes,10/4/2021,15:42:02,2021-10-4T15:42:02.000000,,,2021-10-4,15:42:02
174,the_current,Plastic Beach,,Future Islands,10/4/2021,15:48:02,2021-10-4T15:48:02.000000,,,2021-10-4,15:48:02
175,the_current,Check the Rhime,,A Tribe Called Quest,10/4/2021,15:54:02,2021-10-4T15:54:02.000000,,,2021-10-4,15:54:02
176,the_current,Holding On,,The War On Drugs,10/4/2021,16:00:03,2021-10-4T16:00:03.000000,,,2021-10-4,16:00:03
177,the_current,Track X,,Black Country New Road,10/4/2021,16:06:02,2021-10-4T16:06:02.000000,,,2021-10-4,16:06:02
178,the_current,Dreams Tonite,,Alvvays,10/4/2021,16:12:02,2021-10-4T16:12:02.000000,,,2021-10-4,16:12:02
179,the_current,Leave The Door Open,,Bruno Mars Anderson Paak and Silk Sonic,10/4/2021,16:18:02,2021-10-4T16:18:02.000000,,,2021-10-4,16:18:02
180,the_current,Controversy,,Prince,10/4/2021,16:24:02,2021-10-4T16:24:02.000000,,,2021-10-4,16:24:02
181,the_current,Private Lives,,Low Cut Connie,10/4/2021,16:30:03,2021-10-4T16:30:03.000000,,,2021-10-4,16:30:03
182,the_current,Here It Goes Again,,OK Go,10/4/2021,16:39:02,2021-10-4T16:39:02.000000,,,2021-10-4,16:39:02
183,the_current,hold yourself,,tUnE-yArDs,10/4/2021,16:45:02,2021-10-4T16:45:02.000000,,,2021-10-4,16:45:02
184,the_current,The Outsiders,,R.E.M. feat. Q-Tip,10/4/2021,16:51:02,2021-10-4T16:51:02.000000,,,2021-10-4,16:51:02
185,the_current,Narrator,,Squid,10/4/2021,16:57:02,2021-10-4T16:57:02.000000,,,2021-10-4,16:57:02
186,the_current,The Great Divide,,The Shins,10/4/2021,17:03:02,2021-10-4T17:03:02.000000,,,2021-10-4,17:03:02
187,the_current,Into The Blue,,The Joy Formidable,10/4/2021,17:09:02,2021-10-4T17:09:02.000000,,,2021-10-4,17:09:02
188,the_current,The Robots,,Kraftwerk,10/4/2021,17:15:03,2021-10-4T17:15:03.000000,,,2021-10-4,17:15:03
189,the_current,Echoing,,Kings of Leon,10/4/2021,17:21:02,2021-10-4T17:21:02.000000,,,2021-10-4,17:21:02
190,the_current,Something For Your M.I.N.D.,,Superorganism,10/4/2021,17:27:02,2021-10-4T17:27:02.000000,,,2021-10-4,17:27:02
191,the_current,Not Fade Away,,Buddy Holly,10/4/2021,17:33:02,2021-10-4T17:33:02.000000,,,2021-10-4,17:33:02
192,the_current,Ex-Factor,,Lauryn Hill,10/4/2021,17:39:03,2021-10-4T17:39:03.000000,,,2021-10-4,17:39:03
193,the_current,The Ends,,Halloween Alaska,10/4/2021,17:45:02,2021-10-4T17:45:02.000000,,,2021-10-4,17:45:02
194,the_current,Half a Human,,Real Estate,10/4/2021,17:51:02,2021-10-4T17:51:02.000000,,,2021-10-4,17:51:02
195,the_current,Sweet Dreams (Are Made of This),,Eurythmics,10/4/2021,17:57:03,2021-10-4T17:57:03.000000,,,2021-10-4,17:57:03
196,the_current,Out of Sight,,The Beths,10/4/2021,18:03:02,2021-10-4T18:03:02.000000,,,2021-10-4,18:03:02
