2019-07-06,22:42:42.793565,Mineral,Gloria,RadioK,
2019-07-06,22:43:38.033991,Subhumans,Reality Is Waiting for a Bus,RadioK,
2019-07-06,22:45:58.292927,Born Against,Mount the Pavement,RadioK,
2019-07-06,22:51:58.517081,Jawbreaker,Want,RadioK,
2019-07-06,22:54:07.018880,Fury Things,Summer Bummer,RadioK,
2019-07-06,22:57:05.267823,Sonic Youth,Inhuman,RadioK,
