7/6/2019,54:23.5,Trip,Ella Mai,Go 95.3
2019-07-06,21:33:33.839595,Mo Bamba,Sheck Wes,Go 95.3,
2019-07-06,22:42:34.222787,Purple Emoji,Ty Dolla $ign,Go 95.3,
